Wavelength,Transmittance_material,Transmittance_atm
9.5311,5.60E-26,0.4532114
9.6017,7.71E-14,0.3484431
9.6733,5.74E-10,0.5307091
9.7461,1.52E-09,0.5595276
9.8199,2.30E-13,0.6200683
9.8949,2.18E-24,0.5441511
9.971,2.76E-52,0.8480098
10.048,5.10E-90,0.9321777
10.127,2.03E-102,0.9625469
10.207,1.63E-91,0.977537
10.288,2.17E-85,0.9849219
10.37,4.34E-81,0.9977608
10.453,8.68E-65,0.9999117
10.538,5.87E-48,0.9993172
10.625,7.30E-38,0.9983848
10.713,1.11E-30,0.9998825
10.802,4.53E-29,0.9993824
10.893,9.54E-36,0.9981893
10.985,8.92E-40,0.9986503
11.079,9.25E-32,0.9998791
11.174,4.05E-22,0.9999332
11.272,3.58E-19,0.9198611
11.37,2.66E-19,1
11.471,2.01E-19,0.9989623
11.573,8.52E-23,0.999876
11.678,5.44E-32,1
11.784,4.77E-45,0.9996297
11.892,4.74E-49,0.9997846
12.002,9.69E-37,0.9999422
12.114,6.83E-28,0.9982007
12.229,1.06E-26,0.9974876
12.345,3.95E-25,0.9960973
12.464,5.51E-19,0.9932281
12.585,2.15E-11,0.9884624
12.708,1.71E-13,0.9823483
12.834,1.45E-17,0.8993813
12.962,8.45E-20,0.9576848
13.093,7.28E-35,0.9547693
13.227,3.52E-56,0.8592812
13.363,4.82E-53,0.4204004
13.502,1.12E-30,0.1195002
13.645,1.32E-15,0.3007597
13.79,9.62E-08,0.4208843
13.938,0.025953672,0.5129905
14.089,0.032549193,0.1076834
14.244,0.114449737,0.012622342
14.403,5.74E-07,0.000763369
14.564,6.39E-08,9.38E-11
14.73,2.56E-08,0
14.899,2.89E-12,0
15.072,2.26E-09,4.25E-14
15.25,6.83E-05,4.82E-13
15.431,2.25E-05,2.72E-09
15.617,4.48E-08,0.000851564
15.808,7.12E-06,0.010415229
16.003,0.080406884,0.1407676
16.203,0.459733004,1.51E-05
16.408,0.424430559,0.2806
16.618,0.130100861,0.4498862
16.834,0.087072504,0.763351
17.056,0.113112838,0.8713449
17.283,7.25E-05,0.8744142
17.517,9.77E-07,0.7542939
17.757,7.39E-07,0.2713358
18.003,5.21E-05,0.9373834
18.257,5.79E-06,0.2917265
18.518,3.29E-05,0.9538663
18.786,5.53E-07,0.933035
19.062,2.11E-09,0.7846304
19.347,1.85E-10,0.067876607
19.64,1.76E-10,0.9079505
19.942,3.32E-13,0.2933082
