L,AG2,AG4,AG6,AG8,AG12,atm
3.88E-06,0.968216797,0.9404526,0.9076488,0.859297,0.8040939,8.58E-01
3.89E-06,0.967967793,0.9398955,0.9069487,0.8581018,0.8025377,8.62E-01
3.90E-06,0.967344813,0.9387943,0.9051987,0.8550928,0.7990755,9.19E-01
3.91E-06,0.966074831,0.9366158,0.9016382,0.8499146,0.7923149,8.72E-01
3.92E-06,0.963496832,0.9320747,0.8944393,0.8394689,0.778641,8.71E-01
3.93E-06,0.958644789,0.9235855,0.8809944,0.8197559,0.7537178,8.74E-01
3.94E-06,0.949516245,0.9078559,0.8560659,0.7844263,0.7087274,8.88E-01
3.95E-06,0.923149219,0.8636789,0.7867119,0.6888052,0.5927397,8.99E-01
3.96E-06,0.891496368,0.8127361,0.7085308,0.5854829,0.4754514,8.98E-01
3.97E-06,0.896009327,0.8194465,0.7193456,0.6015512,0.4948941,8.97E-01
3.98E-06,0.929314522,0.8735074,0.8025797,0.7128801,0.624477,8.84E-01
3.99E-06,0.950455995,0.9090222,0.8586102,0.7896936,0.716884,8.81E-01
4.00E-06,0.962138642,0.9291631,0.8906621,0.8341692,0.7721296,8.71E-01
4.01E-06,0.967103379,0.9380547,0.9045211,0.8538297,0.7969737,8.52E-01
4.02E-06,0.970372798,0.9439735,0.9137257,0.867243,0.8143218,8.43E-01
4.03E-06,0.972179673,0.9470402,0.9188394,0.8743887,0.8240147,8.22E-01
4.04E-06,0.973367648,0.9492222,0.9222119,0.8793185,0.8302641,8.00E-01
4.05E-06,0.974299826,0.9507781,0.924864,0.8829431,0.8352287,7.84E-01
4.06E-06,0.974724674,0.9514872,0.9260744,0.8847314,0.8378946,7.77E-01
4.07E-06,0.974969186,0.9517989,0.9267715,0.8859499,0.8390155,7.49E-01
4.08E-06,0.974981529,0.9518145,0.9268067,0.8856396,0.8386866,7.16E-01
4.09E-06,0.974809921,0.9516219,0.9263174,0.8844739,0.8374837,6.88E-01
4.10E-06,0.974426013,0.9509944,0.9252234,0.8828056,0.835162,6.54E-01
4.11E-06,0.973878087,0.9499252,0.9236635,0.8808447,0.8324349,6.16E-01
4.12E-06,0.973242031,0.9490072,0.9218549,0.8782893,0.8294288,5.69E-01
